X;timeRand;operRand;X;timeBest;operBest;X;timeWorst;operWorst
10000;2;827;10000;2;400;10000;2;1300
40000;8;1664;40000;8;800;40000;8;2600
90000;31;2436;90000;31;1200;90000;31;3900
160000;82;3262;160000;82;1600;160000;82;5200
250000;164;4058;250000;164;2000;250000;164;6500
360000;307;4856;360000;307;2400;360000;307;7800
490000;435;5654;490000;435;2800;490000;435;9100
640000;585;6434;640000;585;3200;640000;585;10400
810000;818;7276;810000;818;3600;810000;818;11700
1000000;1062;8059;1000000;1062;4000;1000000;1062;13000
