X;Roper;sec;X;Boper;sec;X;Woper;sec
1000;68613;183;1000;115621;183;1000;2009988;185
2000;159638;186;2000;268177;186;2000;8019988;196
3000;248271;197;3000;449751;197;3000;18029988;219
4000;359858;220;4000;624256;221;4000;32039988;260
5000;462322;260;5000;810362;262;5000;50049988;323
6000;554296;324;6000;1041241;325;6000;72059988;414
7000;658553;416;7000;1255469;417;7000;98069988;537
8000;803977;539;8000;1442472;540;8000;128079988;695
9000;891272;698;9000;1644433;700;9000;162089988;895
10000;1034574;897;10000;1874675;899;10000;200099988;1142
