X;Roper;sec;X;Boper;sec;X;Woper;sec
1000;2009324;3;1000;2002;3;1000;3002995;6;
2000;7943424;16;2000;4002;17;2000;12005995;30;
3000;18021912;53;3000;6002;53;3000;27008995;85;
4000;32172532;127;4000;8002;127;4000;48011995;184;
5000;49906480;250;5000;10002;250;5000;75014995;337;
6000;72529224;437;6000;12002;438;6000;108017995;564;
7000;97736282;700;7000;14002;700;7000;147020995;873;
8000;128596920;1059;8000;16002;1059;8000;192023995;1281;
9000;162021456;1514;9000;18002;1514;9000;243026995;1795;
10000;200840870;2084;10000;20002;2084;10000;300029995;2433;
