X;sec;oper
100;0;604
200;0;1204
300;0;1804
400;0;2404
500;0;3004
600;0;3604
700;0;4204
800;0;4804
900;0;5404
1000;0;6004
1100;0;6604
1200;0;7204
1300;0;7804
1400;0;8404
1500;0;9004
1600;0;9604
1700;0;10204
1800;0;10804
1900;1;11404
2000;1;12004
2100;1;12604
2200;1;13204
2300;1;13804
2400;1;14404
2500;1;15004
2600;1;15604
2700;1;16204
2800;1;16804
2900;1;17404
3000;1;18004
3100;1;18604
3200;1;19204
3300;1;19804
3400;2;20404
3500;2;21004
3600;2;21604
3700;2;22204
3800;2;22804
3900;2;23404
4000;2;24004
4100;2;24604
4200;2;25204
4300;2;25804
4400;3;26404
4500;3;27004
4600;3;27604
4700;3;28204
4800;3;28804
4900;3;29404
5000;3;30004
5100;3;30604
5200;4;31204
5300;4;31804
5400;4;32404
5500;4;33004
5600;4;33604
5700;4;34204
5800;4;34804
5900;4;35404
6000;4;36004
6100;5;36604
6200;5;37204
6300;5;37804
6400;5;38404
6500;5;39004
6600;5;39604
6700;6;40204
6800;6;40804
6900;6;41404
7000;7;42004
7100;7;42604
7200;7;43204
7300;7;43804
7400;7;44404
7500;8;45004
7600;8;45604
7700;8;46204
7800;8;46804
7900;8;47404
8000;8;48004
8100;9;48604
8200;9;49204
8300;9;49804
8400;9;50404
8500;10;51004
8600;10;51604
8700;10;52204
8800;10;52804
8900;10;53404
9000;11;54004
9100;11;54604
9200;11;55204
9300;11;55804
9400;12;56404
9500;12;57004
9600;12;57604
9700;12;58204
9800;13;58804
9900;13;59404
10000;13;60004
