X;timeRand;operRand;X;timeBest;operBest;X;timeWorst;operWorst
10000;1;834;10000;1;400;10000;1;1300
40000;7;1653;40000;7;800;40000;7;2600
90000;36;2430;90000;36;1200;90000;36;3900
160000;99;3270;160000;99;1600;160000;99;5200
250000;200;4059;250000;200;2000;250000;200;6500
360000;368;4837;360000;368;2400;360000;368;7800
490000;521;5644;490000;521;2800;490000;521;9100
640000;719;6464;640000;719;3200;640000;719;10400
810000;998;7237;810000;998;3600;810000;998;11700
1000000;1300;8052;1000000;1300;4000;1000000;1300;13000
