timeRand;operRand;timeBest;operBest;timeWorst;operWorst
0;571;0;15;1;1751
1;193;1;15;1;1751
1;577;1;15;1;1751
1;571;1;15;1;1751
1;571;1;15;1;1751
1;571;1;15;1;1751
1;571;1;15;1;1751
1;571;1;15;1;1751
1;649;1;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;625;2;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;571;2;15;2;1751
2;589;3;15;3;1751
3;571;3;15;3;1751
3;571;3;15;3;1751
3;571;3;15;3;1751
3;577;3;15;3;1751
3;573;3;15;3;1751
3;571;3;15;4;1751
4;571;4;15;4;1751
4;571;4;15;4;1751
4;571;4;15;4;1751
4;193;4;15;4;1751
4;195;4;15;4;1751
4;193;4;15;4;1751
4;193;4;15;4;1751
5;571;5;15;5;1751
5;195;5;15;5;1751
5;571;5;15;5;1751
5;571;5;15;5;1751
5;193;5;15;5;1751
5;571;5;15;5;1751
5;625;5;15;5;1751
6;589;6;15;6;1751
6;589;6;15;6;1751
6;571;6;15;6;1751
6;193;6;15;6;1751
6;625;6;15;6;1751
6;571;6;15;6;1751
6;577;6;15;6;1751
7;571;7;15;7;1751
7;571;7;15;7;1751
7;571;7;15;7;1751
7;571;7;15;7;1751
7;571;7;15;7;1751
7;571;7;15;7;1751
8;589;8;15;8;1751
8;577;8;15;8;1751
8;571;8;15;8;1751
8;571;8;15;8;1751
8;571;8;15;8;1751
8;193;8;15;9;1751
9;577;9;15;9;1751
9;571;9;15;9;1751
9;571;9;15;9;1751
9;589;9;15;9;1751
9;571;9;15;10;1751
10;625;10;15;10;1751
10;571;10;15;10;1751
10;571;10;15;10;1751
10;589;10;15;10;1751
10;571;10;15;10;1751
10;193;10;15;10;1751
11;571;11;15;11;1751
11;571;11;15;11;1751
11;571;11;15;11;1751
11;595;11;15;11;1751
11;571;11;15;11;1751
11;571;11;15;11;1751
11;571;11;15;11;1751
11;625;11;15;11;1751
11;571;11;15;12;1751
12;571;12;15;12;1751
12;571;12;15;12;1751
12;571;12;15;12;1751
12;571;12;15;12;1751
12;571;12;15;12;1751
12;193;12;15;12;1751
12;67;12;15;12;1751
12;571;12;15;12;1751
12;589;13;15;13;1751
13;571;13;15;13;1751
13;571;13;15;13;1751
13;571;13;15;13;1751
13;571;13;15;13;1751
13;571;13;15;13;1751
13;573;13;15;13;1751
13;589;13;15;13;1751
13;571;13;15;13;1751
14;573;14;15;14;1751
14;571;14;15;14;1751
14;589;14;15;14;1751
14;571;14;15;14;1751
14;573;14;15;14;1751
14;573;14;15;14;1751
14;571;14;15;14;1751
14;573;14;15;14;1751
14;571;14;15;14;1751
14;577;14;15;14;1751
15;577;15;15;15;1751
15;193;15;15;15;1751
15;571;15;15;15;1751
15;571;15;15;15;1751
